word,phoneme,word_syllable_sequence,phoneme_syllable_sequence
berhujah,bərhudʒah,ber.hu.jah,bər.hu.dʒah
berian,bərian,be.ri.an,bə.ri.an
beriani,bəriani,be.ri.a.ni,bə.ri.a.ni
beribadah,bəribadah,ber.i.ba.dah,bər.ʔi.ba.dah
beribadat,bəribadat,ber.i.ba.dat,bər.ʔi.ba.dat
beri,bəri,be.ri,bə.ri
beribu,bəribu,ber.i.bu,bər.ʔi.bu
berida,bərida,be.ri.da,bə.ri.da
berijazah,bəridʒazah,ber.i.ja.zah,bər.ʔi.dʒa.zah
berikan,bərikan,be.ri.kan,bə.ri.kan
berikat,bərikat,ber.i.kat,bər.ʔi.kat
berikatkan,bərikatkan,ber.i.kat.kan,bər.ʔi.kat.kan
berik,bəriʔ,be.rik,bə.riʔ
berikhtiar,bəriʔhtiar,ber.ikh.ti.ar,bər.ʔikh.ti.ar
berikrar,bəriʔrar,ber.ik.rar,bər.ʔik.rar
berikut,bərikut,ber.i.kut,bər.ʔi.kut
berikutnya,bərikutɲa,ber.i.kut.nya,bər.ʔi.kut.ɲa
berilah,bərilah,be.ri.lah,bə.ri.lah
berilmu,bərilmu,ber.il.mu,bər.ʔil.mu
beriman,bəriman,ber.i.man,bər.ʔi.man
berimbangan,bərimbaŋan,ber.im.bang.an,bər.ʔim.baŋ.an
berimbang,bərimbaŋ,ber.im.bang,bər.ʔim.baŋ
berinda,bərinda,be.rin.da,bə.rin.da
beringas,bəriŋas,be.ri.ngas,bə.ri.ŋas
beringat,bəriŋat,ber.i.ngat,bər.ʔi.ŋat
beringin,bəriŋin,be.ri.ngin,bə.ri.ŋin
beringsang,bəriŋsaŋ,be.ring.sang,bə.riŋ.saŋ
beringsut,bəriŋsut,ber.ing.sut,bər.iŋ.sut
beringus,bəriŋus,ber.i.ngus,bər.ʔi.ŋus
berinteraksi,bərintəraʔsi,ber.in.ter.ak.si,bər.ʔin.tər.aʔ.si
berintikan,bərintikan,ber.in.ti.kan,bər.ʔin.ti.kan
berirama,bərirama,ber.i.ra.ma,bər.ʔi.ra.ma
beriringan,bəririŋan,ber.i.ring.an,bər.ʔi.riŋ.an
beriring,bəririŋ,ber.i.ring,bər.ʔi.riŋ
berisi,bərisi,ber.i.si,bər.ʔi.si
berisikan,bərisikan,ber.i.si.kan,bər.ʔi.si.kan
berisik,bərisiʔ,be.ri.sik,bə.ri.siʔ
berisiko,bərisiko,be.ri.si.ko,bə.ri.si.ko
beristighfar,bəristighfar,ber.is.tigh.far,bər.ʔis.tigh.far
beristirahat,bəristirahat,ber.is.ti.ra.hat,bər.ʔis.ti.ra.hat
beristri,bəristri,ber.is.tri,bər.ʔis.tri
beristrikan,bəristrikan,ber.is.tri.kan,bər.ʔis.tri.kan
berita,bərita,be.ri.ta,bə.ri.ta
beritahu,bəritahu,be.ri.ta.hu,bə.ri.ta.hu
beritawan,bəritawan,be.ri.ta.wan,bə.ri.ta.wan
berizin,bərizin,ber.i.zin,bər.ʔi.zin
berjabat,bərdʒabat,ber.ja.bat,bər.dʒa.bat
berjaga,bərdʒaga,ber.ja.ga,bər.dʒa.ga
berjahit,bərdʒahit,ber.ja.hit,bər.dʒa.hit
berjajan,bərdʒadʒan,ber.ja.jan,bər.dʒa.dʒan
berjalan,bərdʒalan,ber.ja.lan,bər.dʒa.lan
berjalin,bərdʒalin,ber.ja.lin,bər.dʒa.lin
berjalur,bərdʒalur,ber.ja.lur,bər.dʒa.lur
berjam,bərdʒam,ber.jam,bər.dʒam
berjanggut,bərdʒaŋgut,ber.jang.gut,bər.dʒaŋ.gut
berjangka,bərdʒaŋka,ber.jang.ka,bər.dʒaŋ.ka
berjangkitan,bərdʒaŋkitan,ber.jang.kit.an,bər.dʒaŋ.kit.an
berjangkit,bərdʒaŋkit,ber.jang.kit,bər.dʒaŋ.kit
berjanji,bərdʒandʒi,ber.jan.ji,bər.dʒan.dʒi
berjarak,bərdʒaraʔ,ber.ja.rak,bər.dʒa.raʔ
berjasa,bərdʒasa,ber.ja.sa,bər.dʒa.sa
berjatuhan,bərdʒatuhan,ber.ja.tuh.an,bər.dʒa.tuh.an
berjauhan,bərdʒauhan,ber.ja.uh.an,bər.dʒa.uh.an
berjaya,bərdʒaja,ber.ja.ya,bər.dʒa.ja
berjejak,bərdʒədʒaʔ,ber.je.jak,bər.dʒə.dʒaʔ
berjejal,bərdʒədʒal,ber.je.jal,bər.dʒə.dʒal
berjejer,bərdʒedʒer,ber.je.jer,bər.dʒe.dʒer
berjela,bərdʒela,ber.je.la,bər.dʒe.la
berjemaah,bərdʒəmaʔah,ber.je.ma.ah,bər.dʒə.ma.ʔah
berjemur,bərdʒəmur,ber.je.mur,bər.dʒə.mur
berjenaka,bərdʒənaka,ber.je.na.ka,bər.dʒə.na.ka
berjenis,bərdʒənis,ber.je.nis,bər.dʒə.nis
berjerawat,bərdʒərawat,ber.je.ra.wat,bər.dʒə.ra.wat
berjerjak,bərdʒərdʒaʔ,ber.jer.jak,bər.dʒər.dʒaʔ
berjihad,bərdʒihad,ber.ji.had,bər.dʒi.had
berjilid,bərdʒilid,ber.ji.lid,bər.dʒi.lid
berjiran,bərdʒiran,ber.ji.ran,bər.dʒi.ran
berjiwa,bərdʒiwa,ber.ji.wa,bər.dʒi.wa
berjualan,bərdʒualan,ber.ju.al.an,bər.dʒu.al.an
berjual,bərdʒual,ber.ju.al,bər.dʒu.al
berjuang,bərdʒuaŋ,ber.ju.ang,bər.dʒu.aŋ
berjubah,bərdʒubah,ber.ju.bah,bər.dʒu.bah
berjudi,bərdʒudi,ber.ju.di,bər.dʒu.di
berjudul,bərdʒudul,ber.ju.dul,bər.dʒu.dul
berjumlah,bərdʒumlah,ber.jum.lah,bər.dʒum.lah
berjumpa,bərdʒumpa,ber.jum.pa,bər.dʒum.pa
berjuntai,bərdʒuntai,ber.jun.tai,bər.dʒun.tai
berkabung,bərkabuŋ,ber.ka.bung,bər.ka.buŋ
berkabut,bərkabut,ber.ka.but,bər.ka.but
berkaca,bərkatʃa,ber.ka.ca,bər.ka.tʃa
berkadar,bərkadar,ber.ka.dar,bər.ka.dar
berkah,bərkah,ber.kah,bər.kah
berkain,bərkain,ber.ka.in,bər.ka.in
berkaitan,bərkaitan,ber.ka.it.an,bər.ka.it.an
berkait,bərkait,ber.ka.it,bər.ka.it
berkakak,bərkakaʔ,ber.ka.kak,bər.ka.kaʔ
berkaki,bərkaki,ber.ka.ki,bər.ka.ki
berkala,bərkala,ber.ka.la,bər.ka.la
berkaliber,bərkalibər,ber.ka.li.ber,bər.ka.li.bər
berkali,bərkali,ber.ka.li,bər.ka.li
berkancing,bərkantʃiŋ,ber.kan.cing,bər.kan.tʃiŋ
berkanjang,bərkandʒaŋ,ber.kan.jang,bər.kan.dʒaŋ
berkantor,bərkantor,ber.kan.tor,bər.kan.tor
berkantung,bərkantuŋ,ber.kan.tung,bər.kan.tuŋ
berkaparan,bərkaparan,ber.ka.par.an,bər.ka.par.an
berkarat,bərkarat,ber.ka.rat,bər.ka.rat
berkarya,bərkarja,ber.kar.ya,bər.kar.ja
berkas,bərkas,ber.kas,bər.kas
berkata,bərkata,ber.ka.ta,bər.ka.ta
berkat,bərkat,ber.kat,bər.kat
berkati,bərkati,ber.kat.i,bər.kat.i
berkaul,bərkaul,ber.ka.ul,bər.ka.ul
berkawal,bərkawal,ber.ka.wal,bər.ka.wal
berkawan,bərkawan,ber.ka.wan,bər.ka.wan
berkayu,bərkaju,ber.ka.yu,bər.ka.ju
berkeadaan,bərkəadaʔan,ber.ke.a.da.an,bər.kə.a.da.ʔan
berkeadilan,bərkəadilan,ber.ke.a.dil.an,bər.kə.a.dil.an
berkeahlian,bərkəahlian,ber.ke.ah.li.an,bər.kə.ah.li.an
berkeberatan,bərkəbəratan,ber.ke.be.rat.an,bər.kə.bə.rat.an
berkebetulan,bərkəbətulan,ber.ke.be.tul.an,bər.kə.bə.tul.an
berkebolehan,bərkəbolehan,ber.ke.bo.leh.an,bər.kə.bo.leh.an
berkebudayaan,bərkəbudajaʔan,ber.ke.bu.da.ya.an,bər.kə.bu.da.ja.ʔan
berkebun,bərkəbun,ber.ke.bun,bər.kə.bun
berkecambah,bərkətʃambah,ber.ke.cam.bah,bər.kə.tʃam.bah
berkecamuk,bərkətʃamuʔ,ber.ke.ca.muk,bər.kə.tʃa.muʔ
berkecandan,bərkətʃandan,ber.ke.can.dan,bər.kə.tʃan.dan
berkecepatan,bərkətʃəpatan,ber.ke.ce.pat.an,bər.kə.tʃə.pat.an
berkeciak,bərkətʃiaʔ,ber.ke.ci.ak,bər.kə.tʃi.aʔ
berkecil,bərkətʃil,ber.ke.cil,bər.kə.tʃil
berkecimpung,bərkətʃimpuŋ,ber.ke.cim.pung,bər.kə.tʃim.puŋ
berkecipak,bərkətʃipaʔ,ber.ke.ci.pak,bər.kə.tʃi.paʔ
berkecuali,bərkətʃuali,ber.ke.cu.a.li,bər.kə.tʃu.a.li
berkecukupan,bərkətʃukupan,ber.ke.cu.kup.an,bər.kə.tʃu.kup.an
berkecumik,bərkətʃumiʔ,ber.ke.cu.mik,bər.kə.tʃu.miʔ
berkedai,bərkədai,ber.ke.dai,bər.kə.dai
berkedip,bərkədip,ber.ke.dip,bər.kə.dip
berkedok,bərkədoʔ,ber.ke.dok,bər.kə.doʔ
berkedut,bərkədut,ber.ke.dut,bər.kə.dut
berkehendak,bərkəhəndaʔ,ber.ke.hen.dak,bər.kə.hən.daʔ
berkeinginan,bərkəiŋinan,ber.ke.i.ngin.an,bər.kə.i.ŋin.an
berkejai,bərkədʒai,ber.ke.jai,bər.kə.dʒai
berkejang,bərkədʒaŋ,ber.ke.jang,bər.kə.dʒaŋ
berkejaran,bərkədʒaran,ber.ke.jar.an,bər.kə.dʒar.an
berkejar,bərkədʒar,ber.ke.jar,bər.kə.dʒar
berkeji,bərkədʒi,ber.ke.ji,bər.kə.dʒi
berkejut,bərkədʒut,ber.ke.jut,bər.kə.dʒut
berkekalan,bərkəkalan,ber.ke.kal.an,bər.kə.kal.an
berkekuasaan,bərkəkuasaʔan,ber.ke.ku.a.sa.an,bər.kə.ku.a.sa.ʔan
berkekuatan,bərkəkuatan,ber.ke.ku.at.an,bər.kə.ku.at.an
berkekurangan,bərkəkuraŋan,ber.ke.ku.rang.an,bər.kə.ku.raŋ.an
berkelah,bərkelah,ber.ke.lah,bər.ke.lah
berkelahi,bərkəlahi,ber.ke.la.hi,bər.kə.la.hi
berkelakar,bərkəlakar,ber.ke.la.kar,bər.kə.la.kar
berkelakuan,bərkəlakuan,ber.ke.la.ku.an,bər.kə.la.ku.an
berkelam,bərkəlam,ber.ke.lam,bər.kə.lam
berkelamin,bərkəlamin,ber.ke.la.min,bər.kə.la.min
berkelana,bərkəlana,ber.ke.la.na,bər.kə.la.na
berkelanjutan,bərkəlandʒutan,ber.ke.lan.jut.an,bər.kə.lan.dʒut.an
berkelar,bərkəlar,ber.ke.lar,bər.kə.lar
berkelas,bərkəlas,ber.ke.las,bər.kə.las
berkelebat,bərkəlebat,ber.ke.le.bat,bər.kə.le.bat
berkelebihan,bərkələbihan,ber.ke.le.bih.an,bər.kə.lə.bih.an
berkeledar,bərkəledar,ber.ke.le.dar,bər.kə.le.dar
berkelelot,bərkəlelot,ber.ke.le.lot,bər.kə.le.lot
berkelemban,bərkəlemban,ber.ke.lem.ban,bər.kə.lem.ban
berkelepai,bərkələpai,ber.ke.le.pai,bər.kə.lə.pai
berkeletah,bərkəletah,ber.ke.le.tah,bər.kə.le.tah
berkeliaran,bərkəliaran,ber.ke.li.ar.an,bər.kə.li.ar.an
berkelibang,bərkəlibaŋ,ber.ke.li.bang,bər.kə.li.baŋ
berkeliling,bərkəliliŋ,ber.ke.li.ling,bər.kə.li.liŋ
berkelim,bərkəlim,ber.ke.lim,bər.kə.lim
berkelindan,bərkəlindan,ber.ke.lin.dan,bər.kə.lin.dan
berkelip,bərkəlip,ber.ke.lip,bər.kə.lip
berkelit,bərkəlit,ber.ke.lit,bər.kə.lit
berkelocak,bərkəlotʃaʔ,ber.ke.lo.cak,bər.kə.lo.tʃaʔ
berkelok,bərkeloʔ,ber.ke.lok,bər.ke.loʔ
berkelok,bərkəloʔ,ber.ke.lok,bər.kə.loʔ
berkelompok,bərkəlompoʔ,ber.ke.lom.pok,bər.kə.lom.poʔ
berkelong,bərkeloŋ,ber.ke.long,bər.ke.loŋ
berkelopak,bərkəlopaʔ,ber.ke.lo.pak,bər.kə.lo.paʔ
berkeluarga,bərkəluarga,ber.ke.lu.ar.ga,bər.kə.lu.ar.ga
berkeluh,bərkəluh,ber.ke.luh,bər.kə.luh
berkeluk,bərkəluʔ,ber.ke.luk,bər.kə.luʔ
berkelumun,bərkəlumun,ber.ke.lu.mun,bər.kə.lu.mun
berkelun,bərkəlun,ber.ke.lun,bər.kə.lun
berkeluyuran,bərkəlujuran,ber.ke.lu.yur.an,bər.kə.lu.jur.an
berkemah,bərkemah,ber.ke.mah,bər.ke.mah
berkemal,bərkəmal,ber.ke.mal,bər.kə.mal
berkemampuan,bərkəmampuan,ber.ke.mam.pu.an,bər.kə.mam.pu.an
berkemas,bərkəmas,ber.ke.mas,bər.kə.mas
berkemban,bərkəmban,ber.kem.ban,bər.kəm.ban
berkembangan,bərkəmbaŋan,ber.kem.bang.an,bər.kəm.baŋ.an
berkembang,bərkəmbaŋ,ber.kem.bang,bər.kəm.baŋ
berkembar,bərkəmbar,ber.kem.bar,bər.kəm.bar
berkemeja,bərkəmedʒa,ber.ke.me.ja,bər.kə.me.dʒa
berkemendang,bərkəməndaŋ,ber.ke.men.dang,bər.kə.mən.daŋ
berkementam,bərkəməntam,ber.ke.men.tam,bər.kə.mən.tam
berkemih,bərkəmih,ber.ke.mih,bər.kə.mih
berkemu,bərkəmu,ber.ke.mu,bər.kə.mu
berkemudi,bərkəmudi,ber.ke.mu.di,bər.kə.mu.di
berkenaan,bərkənaʔan,ber.ke.na.an,bər.kə.na.ʔan
berkenalan,bərkənalan,ber.ke.nal.an,bər.kə.nal.an
berkenan,bərkənan,ber.ke.nan,bər.kə.nan
berkencan,bərkəntʃan,ber.ken.can,bər.kən.tʃan
berkendaraan,bərkəndaraʔan,ber.ken.da.ra.an,bər.kən.da.ra.ʔan
berkendara,bərkəndara,ber.ken.da.ra,bər.kən.da.ra
berkenduri,bərkənduri,ber.ken.du.ri,bər.kən.du.ri
berkentut,bərkəntut,ber.ken.tut,bər.kən.tut
berkeokan,bərkeokan,ber.ke.ok.an,bər.ke.ok.an
berkepak,bərkəpaʔ,ber.ke.pak,bər.kə.paʔ
berkepala,bərkəpala,ber.ke.pa.la,bər.kə.pa.la
berkepang,bərkepaŋ,ber.ke.pang,bər.ke.paŋ
berkepanjangan,bərkəpandʒaŋan,ber.ke.pan.jang.an,bər.kə.pan.dʒaŋ.an
berkepentingan,bərkəpəntiŋan,ber.ke.pen.ting.an,bər.kə.pən.tiŋ.an
berkepit,bərkəpit,ber.ke.pit,bər.kə.pit
berkepul,bərkəpul,ber.ke.pul,bər.kə.pul
berkepung,bərkəpuŋ,ber.ke.pung,bər.kə.puŋ
berkerabat,bərkərabat,ber.ke.ra.bat,bər.kə.ra.bat
berkerah,bərkərah,ber.ke.rah,bər.kə.rah
berkerak,bərkəraʔ,ber.ke.rak,bər.kə.raʔ
berkeramas,bərkəramas,ber.ke.ra.mas,bər.kə.ra.mas
berkerang,bərkəraŋ,ber.ke.rang,bər.kə.raŋ
berkeras,bərkəras,ber.ke.ras,bər.kə.ras
berkeredong,bərkəredoŋ,ber.ke.re.dong,bər.kə.re.doŋ
berkereket,bərkəreket,ber.ke.re.ket,bər.kə.re.ket
berkereta,bərkəreta,ber.ke.re.ta,bər.kə.re.ta
berkeriapan,bərkəriapan,ber.ke.ri.ap.an,bər.kə.ri.ap.an
berkeriau,bərkəriau,ber.ke.ri.au,bər.kə.ri.au
berkericau,bərkəritʃau,ber.ke.ri.cau,bər.kə.ri.tʃau
berkeringat,bərkəriŋat,ber.ke.ri.ngat,bər.kə.ri.ŋat
berkering,bərkəriŋ,ber.ke.ring,bər.kə.riŋ
berkeriput,bərkəriput,ber.ke.ri.put,bər.kə.ri.put
berkeris,bərkəris,ber.ke.ris,bər.kə.ris
berkerisik,bərkərisiʔ,ber.ke.ri.sik,bər.kə.ri.siʔ
berkeriuk,bərkəriuʔ,ber.ke.ri.uk,bər.kə.ri.uʔ
berkeriutan,bərkəriutan,ber.ke.ri.ut.an,bər.kə.ri.ut.an
berkeriut,bərkəriut,ber.ke.ri.ut,bər.kə.ri.ut
berkeroncongan,bərkərontʃoŋan,ber.ke.ron.cong.an,bər.kə.ron.tʃoŋ.an
berkerotak,bərkərotaʔ,ber.ke.ro.tak,bər.kə.ro.taʔ
berkerubung,bərkərubuŋ,ber.ke.ru.bung,bər.kə.ru.buŋ
berkerudung,bərkəruduŋ,ber.ke.ru.dung,bər.kə.ru.duŋ
berkeruh,bərkəruh,ber.ke.ruh,bər.kə.ruh
berkerumuk,bərkərumuʔ,ber.ke.ru.muk,bər.kə.ru.muʔ
berkerumun,bərkərumun,ber.ke.ru.mun,bər.kə.ru.mun
berkerunyut,bərkəruɲut,ber.ke.ru.nyut,bər.kə.ru.ɲut
berkerut,bərkərut,ber.ke.rut,bər.kə.rut
berkeruyuk,bərkərujuʔ,ber.ke.ru.yuk,bər.kə.ru.juʔ
berkesan,bərkəsan,ber.ke.san,bər.kə.san
berkesempatan,bərkəsəmpatan,ber.ke.sem.pat.an,bər.kə.səm.pat.an
berkesimpulan,bərkəsimpulan,ber.ke.sim.pul.an,bər.kə.sim.pul.an
berkesinambungan,bərkəsinambuŋan,ber.ke.si.nam.bung.an,bər.kə.si.nam.buŋ.an
berkesiur,bərkəsiur,ber.ke.si.ur,bər.kə.si.ur
berkesot,bərkesot,ber.ke.sot,bər.ke.sot
berkesudahan,bərkəsudahan,ber.ke.su.dah.an,bər.kə.su.dah.an
berketak,bərkətaʔ,ber.ke.tak,bər.kə.taʔ
berketel,bərkətel,ber.ke.tel,bər.kə.tel
berketentuan,bərkətəntuan,ber.ke.ten.tu.an,bər.kə.tən.tu.an
berketepatan,bərkətəpatan,ber.ke.te.pat.an,bər.kə.tə.pat.an
berketetapan,bərkətətapan,ber.ke.te.tap.an,bər.kə.tə.tap.an
berketrampilan,bərkətrampilan,ber.ke.tram.pil.an,bər.kə.tram.pil.an
berketur,bərkətur,ber.ke.tur,bər.kə.tur
berketurunan,bərkəturunan,ber.ke.tu.run.an,bər.kə.tu.run.an
berkewajiban,bərkəwadʒiban,ber.ke.wa.jib.an,bər.kə.wa.dʒib.an
berkeyakinan,bərkəjakinan,ber.ke.ya.kin.an,bər.kə.ja.kin.an
berkhalwat,bərʔhalwat,ber.khal.wat,bər.ʔhal.wat
berkhasiat,bərʔhasiat,ber.kha.si.at,bər.ʔha.si.at
berkhayal,bərʔhajal,ber.kha.yal,bər.ʔha.jal
berkhidmat,bərʔhidmat,ber.khid.mat,bər.ʔhid.mat
berkhotbah,bərʔhotbah,ber.khot.bah,bər.ʔhot.bah
berkibar,bərkibar,ber.ki.bar,bər.ki.bar
berkiblat,bərkiblat,ber.kib.lat,bər.kib.lat
berkicau,bərkitʃau,ber.ki.cau,bər.ki.tʃau
berkik,bərkiʔ,ber.kik,bər.kiʔ
berkilah,bərkilah,ber.ki.lah,bər.ki.lah
berkilat,bərkilat,ber.ki.lat,bər.ki.lat
berkilau,bərkilau,ber.ki.lau,bər.ki.lau
berkil,bərkil,ber.kil,bər.kil
berkipas,bərkipas,ber.ki.pas,bər.ki.pas
berkira,bərkira,ber.ki.ra,bər.ki.ra
berkirim,bərkirim,ber.ki.rim,bər.ki.rim
berkisar,bərkisar,ber.ki.sar,bər.ki.sar
berkisi,bərkisi,ber.ki.si,bər.ki.si
berkobar,bərkobar,ber.ko.bar,bər.ko.bar
berko,berko,ber.ko,ber.ko
berkocak,bərkotʃaʔ,ber.ko.cak,bər.ko.tʃaʔ
berkokok,bərkokoʔ,ber.ko.kok,bər.ko.koʔ
berkomentar,bərkomentar,ber.ko.men.tar,bər.ko.men.tar
berkomplot,bərkomplot,ber.kom.plot,bər.kom.plot
berkompromi,bərkompromi,ber.kom.pro.mi,bər.kom.pro.mi
berkomunikasi,bərkomunikasi,ber.ko.mu.ni.ka.si,bər.ko.mu.ni.ka.si
berkonfrontasi,bərkonfrontasi,ber.kon.fron.ta.si,bər.kon.fron.ta.si
berkongsi,bərkoŋsi,ber.kong.si,bər.koŋ.si
berkonsep,bərkonsep,ber.kon.sep,bər.kon.sep
berkonsultasi,bərkonsultasi,ber.kon.sul.ta.si,bər.kon.sul.ta.si
berkonvoi,bərkonvoi,ber.kon.voi,bər.kon.voi
berkoperasi,bərkopərasi,ber.ko.pe.ra.si,bər.ko.pə.ra.si
berkorban,bərkorban,ber.kor.ban,bər.kor.ban
berkotek,bərkoteʔ,ber.ko.tek,bər.ko.teʔ
berkuah,bərkuah,ber.ku.ah,bər.ku.ah
berkualitas,bərkualitas,ber.ku.a.li.tas,bər.ku.a.li.tas
berkuasa,bərkuasa,ber.ku.a.sa,bər.ku.a.sa
berkuat,bərkuat,ber.ku.at,bər.ku.at
berkuatkuasa,bərkuatkuasa,ber.ku.at.ku.a.sa,bər.ku.at.ku.a.sa
berkubah,bərkubah,ber.ku.bah,bər.ku.bah
berkubang,bərkubaŋ,ber.ku.bang,bər.ku.baŋ
berkubu,bərkubu,ber.ku.bu,bər.ku.bu
berkubur,bərkubur,ber.ku.bur,bər.ku.bur
berkuda,bərkuda,ber.ku.da,bər.ku.da
berkudis,bərkudis,ber.ku.dis,bər.ku.dis
berkuku,bərkuku,ber.ku.ku,bər.ku.ku
berkuliah,bərkuliah,ber.ku.li.ah,bər.ku.li.ah
berkulit,bərkulit,ber.ku.lit,bər.ku.lit
berkumai,bərkumai,ber.ku.mai,bər.ku.mai
berkumandang,bərkumandaŋ,ber.ku.man.dang,bər.ku.man.daŋ
berkumis,bərkumis,ber.ku.mis,bər.ku.mis
berkumpul,bərkumpul,ber.kum.pul,bər.kum.pul
berkumur,bərkumur,ber.ku.mur,bər.ku.mur
berkunci,bərkuntʃi,ber.kun.ci,bər.kun.tʃi
berkung,bərkuŋ,ber.kung,bər.kuŋ
berkunjung,bərkundʒuŋ,ber.kun.jung,bər.kun.dʒuŋ
berkuntum,bərkuntum,ber.kun.tum,bər.kun.tum
berkurang,bərkuraŋ,ber.ku.rang,bər.ku.raŋ
berkuranglah,bərkuraŋlah,ber.ku.rang.lah,bər.ku.raŋ.lah
berkurap,bərkurap,ber.ku.rap,bər.ku.rap
berkursus,bərkursus,ber.kur.sus,bər.kur.sus
berkurung,bərkuruŋ,ber.ku.rung,bər.ku.ruŋ
berkutik,bərkutiʔ,ber.ku.tik,bər.ku.tiʔ
berlaba,bərlaba,ber.la.ba,bər.la.ba
berlabuh,bərlabuh,ber.la.buh,bər.la.buh
berlada,bərlada,ber.la.da,bər.la.da
berlagak,bərlagaʔ,ber.la.gak,bər.la.gaʔ
berlagu,bərlagu,ber.la.gu,bər.la.gu
berlainan,bərlainan,ber.la.in.an,bər.la.in.an
berlain,bərlain,ber.la.in,bər.la.in
berlakon,bərlakon,ber.la.kon,bər.la.kon
berlaku,bərlaku,ber.la.ku,bər.la.ku
berlakunya,bərlakuɲa,ber.la.ku.nya,bər.la.ku.ɲa
berlalu,bərlalu,ber.la.lu,bər.la.lu
berlambak,bərlambaʔ,ber.lam.bak,bər.lam.baʔ
berlambang,bərlambaŋ,ber.lam.bang,bər.lam.baŋ
berlambat,bərlambat,ber.lam.bat,bər.lam.bat
berlandaskan,bərlandaskan,ber.lan.das.kan,bər.lan.das.kan
berlanggar,bərlaŋgar,ber.lang.gar,bər.laŋ.gar
berlangsung,bərlaŋsuŋ,ber.lang.sung,bər.laŋ.suŋ
berlangsungnya,bərlaŋsuŋɲa,ber.lang.sung.nya,bər.laŋ.suŋ.ɲa
berlanjutan,bərlandʒutan,ber.lan.jut.an,bər.lan.dʒut.an
berlanjut,bərlandʒut,ber.lan.jut,bər.lan.dʒut
berlantai,bərlantai,ber.lan.tai,bər.lan.tai
berlapis,bərlapis,ber.la.pis,bər.la.pis
berlarian,bərlarian,ber.la.ri.an,bər.la.ri.an
berlari,bərlari,ber.la.ri,bər.la.ri
berlarut,bərlarut,ber.la.rut,bər.la.rut
berlatar,bərlatar,ber.la.tar,bər.la.tar
berlatih,bərlatih,ber.la.tih,bər.la.tih
berlau,bərlau,ber.lau,bər.lau
berlauk,bərlauʔ,ber.la.uk,bər.la.uʔ
berlawanan,bərlawanan,ber.la.wan.an,bər.la.wan.an
berlawan,bərlawan,ber.la.wan,bər.la.wan
berlayar,bərlajar,ber.la.yar,bər.la.jar
berlebihan,bərləbihan,ber.le.bih.an,bər.lə.bih.an
berlebih,bərləbih,ber.le.bih,bər.lə.bih
berlegar,bərlegar,ber.le.gar,bər.le.gar
berleher,bərleher,ber.le.her,bər.le.her
berlekuk,bərləkuʔ,ber.le.kuk,bər.lə.kuʔ
berleluasa,bərləluasa,ber.le.lu.a.sa,bər.lə.lu.a.sa
berlemak,bərləmaʔ,ber.le.mak,bər.lə.maʔ
berlendir,bərləndir,ber.len.dir,bər.lən.dir
berlengan,bərləŋan,ber.le.ngan,bər.lə.ŋan
berlenggang,bərleŋgaŋ,ber.leng.gang,bər.leŋ.gaŋ
berlepas,bərləpas,ber.le.pas,bər.lə.pas
berlian,bərlian,ber.li.an,bər.li.an
berlibur,bərlibur,ber.li.bur,bər.li.bur
berlidah,bərlidah,ber.li.dah,bər.li.dah
berliku,bərliku,ber.li.ku,bər.li.ku
berlilitkan,bərlilitkan,ber.li.lit.kan,bər.li.lit.kan
berlimau,bərlimau,ber.li.mau,bər.li.mau
berlinang,bərlinaŋ,ber.li.nang,bər.li.naŋ
berlindung,bərlinduŋ,ber.lin.dung,bər.lin.duŋ
berlipat,bərlipat,ber.li.pat,bər.li.pat
berlistrik,bərlistriʔ,ber.lis.trik,bər.lis.triʔ
berlokasi,bərlokasi,ber.lo.ka.si,bər.lo.ka.si
berlomba,bərlomba,ber.lom.ba,bər.lom.ba
berlonggok,bərloŋgoʔ,ber.long.gok,bər.loŋ.goʔ
berlubang,bərlubaŋ,ber.lu.bang,bər.lu.baŋ
berlukiskan,bərlukiskan,ber.lu.kis.kan,bər.lu.kis.kan
berlumpur,bərlumpur,ber.lum.pur,bər.lum.pur
berlumuran,bərlumuran,ber.lu.mur.an,bər.lu.mur.an
berlumur,bərlumur,ber.lu.mur,bər.lu.mur
berlumut,bərlumut,ber.lu.mut,bər.lu.mut
berlutut,bərlutut,ber.lu.tut,bər.lu.tut
berma,bərma,ber.ma,bər.ma
bermacam,bərmatʃam,ber.ma.cam,bər.ma.tʃam
bermadah,bərmadah,ber.ma.dah,bər.ma.dah
bermadu,bərmadu,ber.ma.du,bər.ma.du
bermain,bərmain,ber.ma.in,bər.ma.in
bermakna,bərmaʔna,ber.mak.na,bər.maʔ.na
bermaksud,bərmaʔsud,ber.mak.sud,bər.maʔ.sud
bermalam,bərmalam,ber.ma.lam,bər.ma.lam
bermalas,bərmalas,ber.ma.las,bər.ma.las
bermandi,bərmandi,ber.man.di,bər.man.di
bermanfaat,bərmanfaʔat,ber.man.fa.at,bər.man.fa.ʔat
bermanis,bərmanis,ber.ma.nis,bər.ma.nis
bermarkas,bərmarkas,ber.mar.kas,bər.mar.kas
bermartabat,bərmartabat,ber.mar.ta.bat,bər.mar.ta.bat
bermasalah,bərmasalah,ber.ma.sa.lah,bər.ma.sa.lah
bermasam,bərmasam,ber.ma.sam,bər.ma.sam
bermastautin,bərmastautin,ber.mas.tau.tin,bər.mas.tau.tin
